title,company,location,salary,category,timestamp,industryCode,industry
Sr. Business Process Analyst,opentext,"Richmond Hill, ON",Estimated at $69.8K–$88.4K a year,Business Analyst,2023-01-18 21:20:26 UTC,4.0,computer software
Sr. Business Process Analyst,opentext,"Waterloo, ON",Estimated at $69.5K–$88.1K a year,"Business Analyst, Data Analyst, Financial Analyst, Software Developer",2022-09-28 17:16:19 UTC,4.0,computer software
Sr. Revenue Operations Analyst,opentext,"Waterloo, ON",Estimated at $68.3K–$86.4K a year,"Business Analyst, Data Analyst, Financial Analyst",2023-01-10 19:16:48 UTC,4.0,computer software
Cloud Services Program Manager,opentext,"Mississauga, ON",Estimated at $68.1K–$86.3K a yearWeekend availability +1,Software Developer,2022-10-20 19:23:22 UTC,4.0,computer software
Business Process Analyst,opentext,"Richmond Hill, ON",Estimated at $67.7K–$85.8K a year,"Business Analyst, Data Analyst, Software Developer, Risk Analyst",2022-12-19 18:01:10 UTC,4.0,computer software
Business Process Analyst,opentext,"Richmond Hill, ON",Estimated at $67.7K–$85.8K a year,"Risk Analyst, Business Analyst, Data Analyst",2023-01-18 19:01:17 UTC,4.0,computer software
Financial Analyst,opentext,"Waterloo, ON",Estimated at $67.6K–$85.6K a year,Financial Analyst,2022-12-15 21:46:07 UTC,4.0,computer software
Financial Analyst,opentext,"Waterloo, ON",Estimated at $67.6K–$85.6K a year,"Financial Analyst, Software Developer",2023-01-14 21:46:13 UTC,4.0,computer software
SMB Reporting Analyst,opentext,"Waterloo, ON",Estimated at $67.2K–$85.1K a year,Business Analyst,2022-11-15 14:20:06 UTC,4.0,computer software
Sr. Revenue Operations Analyst,opentext,"Richmond Hill, ON",Estimated at $66.7K–$84.5K a year,"Business Analyst, Financial Analyst, Risk Analyst",2022-10-21 19:47:22 UTC,4.0,computer software
Senior Revenue Operations Analyst,opentext,"Waterloo, ON",Estimated at $66.1K–$83.7K a year,Financial Analyst,2022-11-17 18:21:34 UTC,4.0,computer software
Senior Revenue Operations Analyst,opentext,"Waterloo, ON",Estimated at $66.1K–$83.7K a year,"Business Analyst, Financial Analyst, Software Developer",2023-01-16 13:30:52 UTC,4.0,computer software
Sr. Pricing Analyst,opentext,Remote,Estimated at $65.7K–$83.3K a year,"Business Analyst, Data Analyst, Financial Analyst, Software Developer",2022-09-23 21:03:14 UTC,4.0,computer software
Technical Writer,opentext,"Richmond Hill, ON",Estimated at $65.4K–$82.8K a year,Software Developer,2022-09-29 15:34:27 UTC,4.0,computer software
"Sr. Financial Analyst, FP&A",opentext,"Waterloo, ON",Estimated at $64.5K–$81.7K a year,Financial Analyst,2022-11-08 00:50:16 UTC,4.0,computer software
Lead Renewals Account Representative,opentext,"Richmond Hill, ON",Estimated at $64.2K–$81.2K a year,Account Manager,2022-09-26 10:02:14 UTC,4.0,computer software
Sr. Pricing Analyst,opentext,Remote,Estimated at $64.2K–$81.2K a year,"Business Analyst, Data Analyst, Financial Analyst",2022-10-24 16:03:55 UTC,4.0,computer software
Release Management Analyst,opentext,Remote,Estimated at $63.7K–$80.7K a year,Software Developer,2022-11-02 00:01:50 UTC,4.0,computer software
Lead Business Analyst,opentext,"Waterloo, ON",Estimated at $63.4K–$80.2K a year,"Business Analyst, Data Analyst, Software Developer, Risk Analyst",2022-07-25 13:30:15 UTC,4.0,computer software
Transfer Pricing Analyst,opentext,"Richmond Hill, ON",Estimated at $62.7K–$79.5K a year,"Data Analyst, Financial Analyst, Software Developer",2022-09-24 23:00:26 UTC,4.0,computer software
Reporting Operations Business Analyst,opentext,"Richmond Hill, ON",Estimated at $61.4K–$77.8K a year,"Business Analyst, Data Analyst, Software Developer, Risk Analyst",2022-09-23 15:46:52 UTC,4.0,computer software
Sr. Technical Support Specialist,opentext,"Richmond Hill, ON",Estimated at $61.4K–$77.8K a year,Software Developer,2022-09-26 06:34:26 UTC,4.0,computer software
Lead Revenue Operations Analyst,opentext,"Waterloo, ON",Estimated at $61.4K–$77.8K a year,"Data Analyst, Financial Analyst",2022-10-31 13:02:01 UTC,4.0,computer software
Lead Treasury Analyst,opentext,"Richmond Hill, ON",Estimated at $60.9K–$77.2K a year,"Data Analyst, Financial Analyst",2023-01-23 21:03:55 UTC,4.0,computer software
Cloud Services Program Manager,opentext,"Richmond Hill, ON",Estimated at $59.8K–$75.7K a yearWeekend availability +1,Software Developer,2022-11-24 04:34:38 UTC,4.0,computer software
Sr. Revenue Operations Analyst,opentext,"Richmond Hill, ON",Estimated at $59.8K–$75.7K a year,"Business Analyst, Financial Analyst, Software Developer",2022-12-28 14:30:19 UTC,4.0,computer software
A/P Specialist,opentext,"Waterloo, ON",Estimated at $59.5K–$75.3K a year,Software Developer,2022-10-25 17:23:01 UTC,4.0,computer software
Lead Technical Support Specialist,opentext,Remote,Estimated at $59.2K–$75K a year,Software Developer,2022-10-19 21:33:55 UTC,4.0,computer software
Lead Revenue Operations Analyst,opentext,"Waterloo, ON",Estimated at $58.9K–$74.6K a year,"Data Analyst, Financial Analyst",2022-12-19 18:16:09 UTC,4.0,computer software
Consultant,opentext,"Waterloo, ON",Estimated at $58.7K–$74.3K a year,Software Developer,2022-09-23 16:37:27 UTC,4.0,computer software
Senior Business Process Analyst (Salesforce),opentext,"Waterloo, ON",Estimated at $57.8K–$73.2K a year,"Business Analyst, Data Analyst",2022-10-27 14:30:48 UTC,4.0,computer software
Internship - Build Support Specialist,opentext,"Hybrid remote in Waterloo, ON",Estimated at $57.6K–$73K a year,"Intern, Software Developer",2022-10-19 13:48:07 UTC,4.0,computer software
Sr. Performance Development Specialist,opentext,"Waterloo, ON",Estimated at $55K–$69.6K a year,Software Developer,2022-10-19 21:37:54 UTC,4.0,computer software
Sr. Business Process Analyst,opentext,"Waterloo, ON+1 location",Estimated at $55.7K–$70.6K a year,"Business Analyst, Data Analyst",2023-01-20 00:31:58 UTC,4.0,computer software
Lead Financial Analyst,opentext,"Richmond Hill, ON",Estimated at $55.5K–$70.3K a year,Financial Analyst,2023-01-19 19:32:30 UTC,4.0,computer software
Lead Financial Analyst,opentext,"Richmond Hill, ON",Estimated at $55.5K–$70.3K a year,"Financial Analyst, Software Developer",2022-12-20 21:16:14 UTC,4.0,computer software
Sr. Privacy Analyst,opentext,Remote,Estimated at $55.5K–$70.2K a year,Software Developer,2022-11-25 20:33:40 UTC,4.0,computer software
Sr. Privacy Analyst,opentext,Remote,Estimated at $55.4K–$70.2K a year,Software Developer,2022-09-26 20:51:41 UTC,4.0,computer software
Sr. Revenue Operations Analyst,opentext,"Waterloo, ON",Estimated at $54.8K–$69.4K a year,Financial Analyst,2022-11-08 00:50:25 UTC,4.0,computer software
Variable Compensation Analyst,opentext,"Waterloo, ON",Estimated at $53.9K–$68.3K a year,HR Analyst,2022-09-23 08:16:33 UTC,4.0,computer software
Billing Representative,opentext,"Waterloo, ON",Estimated at $53.8K–$68.2K a year,Software Developer,2022-10-19 21:37:08 UTC,4.0,computer software
"Sr. Revenue Operations Analyst, (9 month- contract)",opentext,Remote,Estimated at $51.7K–$65.4K a yearFixed term contract,"Financial Analyst, Software Developer, Business Analyst",2022-12-02 04:51:42 UTC,4.0,computer software
Collections Specialist,opentext,"Waterloo, ON",Estimated at $50K–$63.3K a year,Software Developer,2023-01-10 14:52:19 UTC,4.0,computer software
Collections Specialist,opentext,"Waterloo, ON",Estimated at $50K–$63.3K a year,Software Developer,2022-11-11 12:31:38 UTC,4.0,computer software
Accounts Receivable Specialist,opentext,"Waterloo, ON",Estimated at $48.1K–$60.9K a year,Software Developer,2022-11-17 18:23:52 UTC,4.0,computer software
Sr. A/P Specialist,opentext,"Waterloo, ON",Estimated at $47.8K–$60.6K a year,Software Developer,2022-09-23 10:31:54 UTC,4.0,computer software
Sr. Production Support Specialist,opentext,"Waterloo, ON",Estimated at $47.3K–$59.9K a yearWeekend availability +3,New Grad,2023-01-12 18:18:50 UTC,4.0,computer software
EDI Sr. Production Support Specialist,opentext,"Waterloo, ON",Estimated at $46K–$58.2K a yearNight shift,"New Grad, Software Developer",2022-07-26 21:00:19 UTC,4.0,computer software
Sr. Production Support Specialist,opentext,"Richmond Hill, ON",Estimated at $45.9K–$58.1K a yearWeekend availability +3,New Grad,2022-12-09 18:32:49 UTC,4.0,computer software
Collections Specialist- Escalations Team,opentext,"Waterloo, ON",Estimated at $44.8K–$56.8K a year,Software Developer,2022-12-04 02:51:32 UTC,4.0,computer software
Technical Support Specialist,opentext,"Waterloo, ON",Estimated at $44.2K–$56K a yearWeekend availability +3,Software Developer,2023-01-23 21:37:35 UTC,4.0,computer software
Production Support Specialist,opentext,"Waterloo, ON",Estimated at $43.9K–$55.5K a yearWeekend availability +3,"New Grad, Software Developer",2023-01-27 20:17:58 UTC,4.0,computer software
Billing Coordinator (12 Month Contract - Must Reside in Ontario) 1,opentext,Remote,Estimated at $43.4K–$54.9K a yearFixed term contract,Software Developer,2023-01-13 20:21:51 UTC,4.0,computer software
Total Rewards Administrator/ Administrateur Total Rewards -...,opentext,"Richmond Hill, ON",Estimated at $40.3K–$51.1K a year,"New Grad, Software Developer",2022-07-26 21:00:15 UTC,4.0,computer software
Billing Coordinator (16 Month Contract),opentext,"Waterloo, ON",Estimated at $39.9K–$50.5K a yearFixed term contract,Software Developer,2022-12-04 02:50:40 UTC,4.0,computer software
Billing Coordinator (16 Month Contract),opentext,"Waterloo, ON",Estimated at $39.8K–$50.4K a yearFixed term contract,Software Developer,2022-10-04 16:36:15 UTC,4.0,computer software
Corporate Events Assistant Intern,opentext,"Hybrid remote in Waterloo, ON",Estimated at $29.3K–$37.1K a yearFull-time +1,Intern,2022-11-27 00:50:14 UTC,4.0,computer software
Corporate Events Assistant Intern,opentext,"Hybrid remote in Waterloo, ON",Estimated at $29.2K–$37K a yearFull-time +1,Intern,2022-10-27 13:01:59 UTC,4.0,computer software
"Sr. Director, Cloud Technical Support Strategy & Programs",opentext,"Mississauga, ON",Estimated at $115K–$146K a year,Software Developer,2022-11-14 03:51:29 UTC,4.0,computer software
Associate Internal Sales Representative,opentext,Remote,"$85,000–$98,000 a year",Software Developer,2023-01-30 12:10:05 UTC,4.0,computer software
IT Software Developer-BI,opentext,"Waterloo, ON","$80,000 a year","Data Analyst, Software Developer",2022-12-05 22:04:38 UTC,4.0,computer software
IT Software Engineer-BI,opentext,"Mississauga, ON","$80,000 a year","Data Analyst, Software Developer",2022-11-06 15:15:45 UTC,4.0,computer software
Associate Software Developer,opentext,"Richmond Hill, ON","$68,036–$102,054 a year",Software Developer,2022-07-02 15:00:13 UTC,4.0,computer software
Financial Analyst,opentext,Remote,"$59,000–$89,000 a year","Risk Analyst, Business Analyst, Financial Analyst",2022-12-05 12:02:42 UTC,4.0,computer software
Financial Analyst,opentext,"Mississauga, ON","$59,000–$89,000 a year","Business Analyst, Financial Analyst, Risk Analyst",2022-11-10 18:21:57 UTC,4.0,computer software
Sr. Software Engineer 1,opentext,"Mississauga, ON","$140,000–$160,000 a year",Web Developer,2022-07-12 21:00:16 UTC,4.0,computer software
"Channel Account Manager, NE US and Canada",opentext,"Mississauga, ON","$129,000–$180,000 a year",Account Manager,2023-01-05 18:47:01 UTC,4.0,computer software
Sr. Software Developer,opentext,"Waterloo, ON","$108,000–$162,000 a year",Software Developer,2022-10-25 22:31:10 UTC,4.0,computer software
Senior Net. Developer,opentext,"Richmond Hill, ON","$108,000–$162,000 a year",Software Developer,2022-07-07 22:00:29 UTC,4.0,computer software
Sr. Software Developer,opentext,"Waterloo, ON","$108,000–$162,000 a year",Software Developer,2022-09-26 06:33:50 UTC,4.0,computer software
"Sr. Engineer, Electrical",nutrien,"Redwater, AB",Estimated at $84K–$106K a yearFull-time,"Electrical Engineer, Mechanical Designer",2022-09-26 19:47:09 UTC,54.0,chemicals
"Sr. Engineer, Maintenance Reliability",nutrien,"Saskatoon, SK",Estimated at $84.5K–$107K a yearFull-time,Process Engineer,2022-09-23 06:46:23 UTC,54.0,chemicals
"Co-Op Student, Retail Tax",nutrien,"Foothills No. 31, AB",Estimated at $50.7K–$64.1K a yearFull-time +1,Intern,2022-09-27 00:33:50 UTC,54.0,chemicals
Senior Financial Analyst –Consolidations and Reporting (2-Year Contract),NORTHLAND POWER,"Toronto, ON",Estimated at $65.5K–$82.9K a yearFull-time +1,Financial Analyst,2023-01-07 17:16:37 UTC,144.0,renewables / environment
Facility Accounting Analyst,NORTHLAND POWER,"Toronto, ON",Estimated at $63.2K–$80K a yearFull-time,Financial Analyst,2022-09-28 12:30:37 UTC,144.0,renewables / environment
Project Management Office Intern (Fall Term),NORTHLAND POWER,"Toronto, ON",Estimated at $48.5K–$61.3K a yearFull-time +1,Intern,2022-07-25 22:30:14 UTC,144.0,renewables / environment
Administrative and Project Coordinator,NORTHLAND POWER,"Toronto, ON",Estimated at $42.5K–$53.9K a yearFull-time,Project Coordinator,2022-10-17 20:30:36 UTC,144.0,renewables / environment
Human Resources Intern,Northern Security,"Greater Sudbury, ON",$18 an hour,"New Grad, Intern",2022-06-22 15:00:23 UTC,121.0,security / investigations
"IT Analyst, Software Solutions and IT Analyst, Database Management",Natural Resources Canada,"Edmonton, AB","$75,129–$91,953 a yearOvertime +2",Data Analyst,2022-12-21 14:17:49 UTC,100.0,nonprofit/ganization management
Doctorate on the application of artificial intelligence,Natural Resources Canada,"Quebec City, QC","$21,000 a year",New Grad,2022-06-14 23:00:45 UTC,100.0,nonprofit/ganization management
Master’s,Natural Resources Canada,"Quebec City, QC","$17,500 a year",New Grad,2022-06-14 23:00:35 UTC,100.0,nonprofit/ganization management
Business Solutions Analyst - Master Data Governance,Multimatic Inc.,"Markham, ON",Estimated at $67K–$84.9K a yearPermanent +18 hour shift,"Data Analyst, Business Analyst",2023-01-12 19:01:56 UTC,53.0,automotive
Industrial Electrician (Electrical Engineer),Multimatic Inc.,"Concord, ON",Estimated at $68K–$86K a yearFull-timeOvertime,Electrical Engineer,2022-10-26 19:22:34 UTC,53.0,automotive
Industrial Electrician (Electrical Engineer),Multimatic Inc.,"Concord, ON",Estimated at $68K–$86.1K a yearFull-timeOvertime,Electrical Engineer,2022-11-24 21:47:27 UTC,53.0,automotive
Analyst,Multimatic Inc.,"Concord, ON",Estimated at $49.1K–$62.1K a year,"Data Analyst, Financial Analyst",2022-11-22 15:16:47 UTC,53.0,automotive
TRANSFER PAYMENT ANALYST,Ministry of Municipal Affairs and Housing,"Toronto, ON","$1,147–$1,404 a weekTemporary",Data Analyst,2022-12-16 04:00:34 UTC,59.0,utilities
SENIOR BUSINESS CONSULTANT,Ministry of Government and Consumer Services,"Toronto, ON","$74,877–$110,338 a year",Business Analyst,2022-06-02 05:30:12 UTC,75.0,government administration
"ADVISOR, SENIOR DEVELOPER",Ministry of Government and Consumer Services,"Toronto, ON","$1,704–$2,129 a week",Software Developer,2022-05-30 08:00:20 UTC,75.0,government administration
LEAD DEVELOPER,Ministry of Government and Consumer Services,"Toronto, ON","$1,704–$2,129 a week","Software Developer, Risk Analyst",2022-06-02 07:00:16 UTC,75.0,government administration
PROJECT ASSISTANT INTERN (INDIGENOUS),Ministry of Government and Consumer Services,"Toronto, ON","$1,114–$1,307 a week","Project Coordinator, Intern",2022-06-03 03:30:13 UTC,75.0,government administration
Principal Engineer - CAD Physical Verification,Microchip Technology,"Burnaby, BC",Estimated at $58.6K–$74.1K a yearFull-time,Electrical Engineer,2023-01-27 20:33:37 UTC,7.0,semiconductors
Data Analyst,Michael Page CA,"Montréal, QC",Up to $68 an hour,Data Analyst,2023-01-25 11:45:21 UTC,104.0,staffing / recruiting
Assistant Project Manager,Michael Page CA,"Halton, ON","$90,000–$120,000 a year",Project Coordinator,2022-12-14 13:15:59 UTC,104.0,staffing / recruiting
Assistant Project Manager,Michael Page CA,"Halton, ON","$80,000–$90,000 a year",Project Coordinator,2022-11-18 13:49:00 UTC,104.0,staffing / recruiting
Project Coordinator - Interiors - High-Rise - Toronto,Michael Page CA,"Richmond Hill, ON","$80,000–$100,000 a year",Project Coordinator,2023-01-12 19:46:50 UTC,104.0,staffing / recruiting
Project Coordinator - High-Rise - Mixed-Use - Toronto,Michael Page CA,"Richmond Hill, ON","$80,000–$100,000 a year",Project Coordinator,2023-01-12 19:45:39 UTC,104.0,staffing / recruiting
Sr. Project Coordinator - Residential Developer - Toronto,Michael Page CA,"Toronto, ON","$75,000–$90,000 a year",Project Coordinator,2023-01-24 10:30:41 UTC,104.0,staffing / recruiting
Project Coordinator,Michael Page CA,"Mississauga, ON+1 location","$75,000–$85,000 a year",Project Coordinator,2022-10-26 11:16:24 UTC,104.0,staffing / recruiting
"Sr. Project Coordinator, Contracts & Estimating - Vaughan",Michael Page CA,"Vaughan, ON","$65,000–$85,000 a year",Project Coordinator,2022-11-25 14:21:03 UTC,104.0,staffing / recruiting
"Project Coordinator, Newstar -Residential Construction -Vaughan",Michael Page CA,"Vaughan, ON","$55,000–$70,000 a year",Project Coordinator,2022-12-02 13:16:21 UTC,104.0,staffing / recruiting
"Project Coordinator, Customer Care - Kitchener/Waterloo",Michael Page CA,"Toronto, ON+1 location","$55,000–$65,000 a year",Project Coordinator,2022-11-26 09:46:54 UTC,104.0,staffing / recruiting
"Project Coordinator, Customer Care - Kitchener/Waterloo",Michael Page CA,"Kitchener, ON","$55,000–$65,000 a year",Project Coordinator,2022-11-25 14:20:09 UTC,104.0,staffing / recruiting
Project Coordinator,Michael Page CA,"Toronto, ON",$35–$40 an hourPermanent +1,Project Coordinator,2022-11-18 13:48:15 UTC,104.0,staffing / recruiting
